节点,带宽 (B/s),延迟 (ms),落地ip,落地地区
ss_20250124_639,9756775.68,476,119.237.255.118,中国
ss_20250124_552,9088137.19,368,18.142.225.149,新加坡
vmess_20250124_695,5346030.32,1263,205.185.122.46,美国
ss_20250124_4,5040324.48,754,54.185.31.212,美国
ss_20250124_215,3471907.53,860,185.231.233.112,葡萄牙
ss_20250124_637,2387284.93,1032,,
ss_20250124_693,2351061.23,673,,
ss_20250124_649,2268663.80,392,144.24.69.107,韩国
vmess_20250124_183,2122035.91,909,143.92.32.110,中国
ss_20250124_807,1897155.50,1030,54.188.41.183,美国
ss_20250124_566,1214239.38,1220,2a09:bac5:3803:2696::3d8:2c,英国
ssr_20250124_769,928147.73,1126,62.100.205.48,英国
ss_20250124_88,802002.99,678,195.154.200.156,法国
vmess_20250124_688,736513.49,1397,23.224.191.26,中国
vmess_20250124_694,733208.07,590,143.92.32.2,中国
vmess_20250124_524,723566.58,1824,,
trojan_20250124_130,491610.10,1252,18.132.92.102,英国
vmess_20250124_182,422403.26,3066,134.122.135.10,中国
ss_20250124_207,363506.62,755,84.17.53.160,瑞士
trojan_20250124_105,323824.09,2021,45.8.158.187,俄罗斯
ss_20250124_690,319024.30,989,202.81.237.156,中国
ss_20250124_109,281335.32,717,195.154.200.156,法国
vmess_20250124_185,213260.19,785,192.151.219.210,中国
vmess_20250124_34,205330.05,1818,192.151.219.210,中国
vmess_20250124_19,150242.90,2175,64.225.109.206,德国
ss_20250124_204,149993.56,2388,,
trojan_20250124_561,138800.17,2414,86.107.100.167,印度
ss_20250124_218,128170.24,792,,
ss_20250124_96,59482.23,3925,95.164.68.37,德国
ss_20250124_97,51831.32,2068,188.253.5.199,新加坡
ss_20250124_198,47625.01,4375,,
trojan_20250124_538,45046.63,1800,2406:da12:477:3d00:eaaa:f88f:a155:1a9a,韩国
ss_20250124_36,44739.29,2152,2607:ca40:1:6::40:1fb7,中国
ss_20250124_94,42327.10,2286,188.253.5.199,新加坡
ss_20250124_796,40560.29,3893,2a0d:6c2:17:73::,荷兰
ss_20250124_38,37792.59,3370,2607:ca40:3:4::40:1ff9,日本
ss_20250124_41,35206.66,3187,,
trojan_20250124_121,33455.35,3286,2406:da18:c77:e601:e294:8213:cfef:d08f,新加坡
ss_20250124_201,27631.66,3918,,
ssr_20250124_762,27593.23,4110,,
ss_20250124_549,23212.95,459,221.139.79.20,韩国
vmess_20250124_689,21427.49,4107,,
ss_20250124_37,20763.52,3558,,
ss_20250124_33,14065.76,4817,,
ss_20250124_210,12936.58,2150,,
ss_20250124_199,10168.53,2321,51.79.255.47,新加坡
trojan_20250124_122,9774.56,1648,2406:da18:c77:e601:e294:8213:cfef:d08f,新加坡
ss_20250124_39,8762.23,1407,51.79.255.47,新加坡
ss_20250124_196,8443.95,4034,,
trojan_20250124_562,-1.00,0,2025-01-24 15:55:29.663,
ss_20250124_221,-1.00,0,2025-01-24 15:50:48.021,
ss_20250124_535,-1.00,0,2025-01-24 15:52:06.054,
ss_20250124_43,-1.00,0,2025-01-24 15:51:56.029,
trojan_20250124_128,-1.00,0,2025-01-24 15:54:51.367,
ss_20250124_82,-1.00,0,2025-01-24 15:53:28.016,
trojan_20250124_530,-1.00,0,2025-01-24 15:55:04.911,
trojan_20250124_531,-1.00,0,2025-01-24 15:55:09.923,
ss_20250124_809,-1.00,0,2025-01-24 15:53:22.998,
ss_20250124_222,-1.00,0,2025-01-24 15:50:53.030,
ss_20250124_42,-1.00,0,2025-01-24 15:51:51.020,
ss_20250124_44,-1.00,0,2025-01-24 15:52:01.037,
ss_20250124_219,-1.00,0,2025-01-24 15:50:43.010,
vmess_20250124_184,-1.00,0,2025-01-24 15:55:49.592,
ss_20250124_550,-1.00,0,2025-01-24 15:52:22.871,
ss_20250124_202,-1.00,0,2025-01-24 15:49:57.987,
vmess_20250124_32,-1.00,0,2025-01-24 15:56:07.638,
ss_20250124_537,-1.00,0,2025-01-24 15:52:11.066,
ss_20250124_200,-1.00,0,2025-01-24 15:49:46.878,
ssr_20250124_743,-1.00,0,2025-01-24 15:54:08.103,
ss_20250124_80,-1.00,0,2025-01-24 15:53:11.591,
ss_20250124_197,-1.00,0,2025-01-24 15:49:24.027,
ssr_20250124_691,-1.00,0,2025-01-24 15:54:03.089,
vmess_20250124_764,-1.00,0,2025-01-24 15:56:58.458,
